"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","2","authenticate valid token","2","0","","0"
"0","get data","1","deleted id","0","0","","0"
"0","posting data","1","valid input formate","3","0","","0"
"0","Authentication","0","Generate Token","3","0","","0"
"0","get data","0","get valid id","3","0","","0"
"0","delete","0","incorrect id","1","0","delete non existent id","0"
"0","update data","0","patch data","1","0","","0"
"0","get data","0","get invalid id","2","0","","0"
"0","posting data","0","invalid input formate","2","0","","0"
"0","delete","1","incorrect id","0","0","delete deleted id","0"
"0","delete","0","correct id","3","0","delete valid id","0"
"0","update data","0","put data","1","0","","0"
