"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"posting data with invalid token and check the response against expected ","52","posting with invalid token","tests.bookings","2026-08-18","failed","2026-08-18","","test_authentication","",""
"trying to get deleted id 4084 to check if the status code is 404 and a json message confirming that failed getting the id","53","get deleted  id 4084","tests.bookings","2026-08-18","failed","2026-08-18","","test_delete_bookings","",""
"checking 200 status code and  json containing posted data of response for posting valid input data","52","testing valid input jafar","tests.bookings","2026-08-18","passed","2026-08-18","","test_create_booking","",""
"testing with invalid user name aparichithudu whose results to be expected with status code 200 and absense of token in json body","53","Testing with aparichithudu","tests.login","2026-08-18","passed","2026-08-18","","test_create_token","",""
"","55","get valid id 4050","tests.bookings","2026-08-18","passed","2026-08-18","","test_get_booking","",""
"testing with valid user name admin whose results to be expected with status code 200 and token in json body as any string","52","Testing with admin","tests.login","2026-08-18","passed","2026-08-18","","test_create_token","",""
"trying to delete non existent id 999999 to check if the status code is 405 and a json message confirming that deleting failed","55","try to delete non existent id 999999","tests.bookings","2026-08-18","passed","2026-08-18","","test_delete_bookings","",""
"posting data with valid token and check the response against expected ","52","posting with valid token","tests.bookings","2026-08-18","passed","2026-08-18","","test_authentication","",""
"updating data with invalid token and check the response against expected ","52","updating with invalid token","tests.bookings","2026-08-18","passed","2026-08-18","","test_authentication","",""
"checking 200 status code and  json containing posted data of response for posting valid input data","52","testing valid input eswar","tests.bookings","2026-08-18","passed","2026-08-18","","test_create_booking","",""
"patching the fields of data of id 4059 with one","104","patching the id 4059","tests.bookings","2026-08-18","passed","2026-08-18","","test_partial_update","",""
"","54","get invalid data","tests.bookings","2026-08-18","passed","2026-08-18","","test_get_booking","",""
"checking 500 status code and  json containing error message of response for posting invalid input data","53","testing invalid input invalid name","tests.bookings","2026-08-18","passed","2026-08-18","","test_create_booking","",""
"trying to delete deleted id 4079 to check if the status code is 405 and a json message confirming that  deleting failed","53","try to delete deleted id 4079","tests.bookings","2026-08-18","failed","2026-08-18","","test_delete_bookings","",""
"deleting the id 4013 to check if the status code is 201 and a json message confirming the id is deleted","52","delete id 4013","tests.bookings","2026-08-18","passed","2026-08-18","","test_delete_bookings","",""
"checking 200 status code and  json containing posted data of response for posting valid input data","51","testing valid input mohamad","tests.bookings","2026-08-18","passed","2026-08-18","","test_create_booking","",""
"testing with invalid user name admin whose results to be expected with status code 200 and absense of token in json body","52","Testing with admin","tests.login","2026-08-18","passed","2026-08-18","","test_create_token","",""
"updating the data of id 4060 with new data","53","updating the id 4060","tests.bookings","2026-08-18","passed","2026-08-18","","test_update_booking","",""
"deleting the id 4002 to check if the status code is 201 and a json message confirming the id is deleted","53","delete id 4002","tests.bookings","2026-08-18","passed","2026-08-18","","test_delete_bookings","",""
"","52","get non existent booking","tests.bookings","2026-08-18","passed","2026-08-18","","test_get_booking","",""
"","52","get valid id 4033","tests.bookings","2026-08-18","passed","2026-08-18","","test_get_booking","",""
"updating data with valid token and check the response against expected ","52","updating with valid token","tests.bookings","2026-08-18","failed","2026-08-18","","test_authentication","",""
"deleting the id 4025 to check if the status code is 201 and a json message confirming the id is deleted","54","delete id 4025","tests.bookings","2026-08-18","passed","2026-08-18","","test_delete_bookings","",""
"checking 422 status code and  json containing error message of response for posting valid input data but duplicate","53","booking booked input posted","tests.bookings","2026-08-18","failed","2026-08-18","","test_create_booking","",""
"","52","get valid id 4042","tests.bookings","2026-08-18","passed","2026-08-18","","test_get_booking","",""
"checking 500 status code and  json containing error message of response for posting invalid input data","54","testing invalid input missing field","tests.bookings","2026-08-18","passed","2026-08-18","","test_create_booking","",""
